;sent:;received;sent_data;sent_timestamp;sent_packet;received_data;received_timestamp;received_packet;latency
18;20180516,23:32:30.699,sent packet '19';20180516,23:32:30.713,unicast message '19' received from 2D:C8;20180516;23:32:30.699;sent packet '19';20180516;23:32:30.713;unicast message '19' received from 2D:C8;14000000
19;20180516,23:32:31.696,sent packet '20';20180516,23:32:31.710,unicast message '20' received from 2D:C8;20180516;23:32:31.696;sent packet '20';20180516;23:32:31.710;unicast message '20' received from 2D:C8;14000000
20;20180516,23:32:32.693,sent packet '21';20180516,23:32:32.706,unicast message '21' received from 2D:C8;20180516;23:32:32.693;sent packet '21';20180516;23:32:32.706;unicast message '21' received from 2D:C8;13000000
21;20180516,23:32:33.690,sent packet '22';20180516,23:32:33.704,unicast message '22' received from 2D:C8;20180516;23:32:33.690;sent packet '22';20180516;23:32:33.704;unicast message '22' received from 2D:C8;14000000
22;20180516,23:32:34.686,sent packet '23';20180516,23:32:34.700,unicast message '23' received from 2D:C8;20180516;23:32:34.686;sent packet '23';20180516;23:32:34.700;unicast message '23' received from 2D:C8;14000000
23;20180516,23:32:35.683,sent packet '24';20180516,23:32:35.696,unicast message '24' received from 2D:C8;20180516;23:32:35.683;sent packet '24';20180516;23:32:35.696;unicast message '24' received from 2D:C8;13000000
24;20180516,23:32:36.679,sent packet '25';20180516,23:32:36.692,unicast message '25' received from 2D:C8;20180516;23:32:36.679;sent packet '25';20180516;23:32:36.692;unicast message '25' received from 2D:C8;13000000
25;20180516,23:32:37.675,sent packet '26';20180516,23:32:37.689,unicast message '26' received from 2D:C8;20180516;23:32:37.675;sent packet '26';20180516;23:32:37.689;unicast message '26' received from 2D:C8;14000000
26;20180516,23:32:38.672,sent packet '27';20180516,23:32:38.686,unicast message '27' received from 2D:C8;20180516;23:32:38.672;sent packet '27';20180516;23:32:38.686;unicast message '27' received from 2D:C8;14000000
27;20180516,23:32:39.669,sent packet '28';20180516,23:32:39.682,unicast message '28' received from 2D:C8;20180516;23:32:39.669;sent packet '28';20180516;23:32:39.682;unicast message '28' received from 2D:C8;13000000
28;20180516,23:32:40.665,sent packet '29';20180516,23:32:40.679,unicast message '29' received from 2D:C8;20180516;23:32:40.665;sent packet '29';20180516;23:32:40.679;unicast message '29' received from 2D:C8;14000000
29;20180516,23:32:41.661,sent packet '30';20180516,23:32:41.675,unicast message '30' received from 2D:C8;20180516;23:32:41.661;sent packet '30';20180516;23:32:41.675;unicast message '30' received from 2D:C8;14000000
30;20180516,23:32:42.659,sent packet '31';20180516,23:32:42.672,unicast message '31' received from 2D:C8;20180516;23:32:42.659;sent packet '31';20180516;23:32:42.672;unicast message '31' received from 2D:C8;13000000
31;20180516,23:32:43.654,sent packet '32';20180516,23:32:43.668,unicast message '32' received from 2D:C8;20180516;23:32:43.654;sent packet '32';20180516;23:32:43.668;unicast message '32' received from 2D:C8;14000000
32;20180516,23:32:44.651,sent packet '33';20180516,23:32:44.665,unicast message '33' received from 2D:C8;20180516;23:32:44.651;sent packet '33';20180516;23:32:44.665;unicast message '33' received from 2D:C8;14000000
33;20180516,23:32:45.648,sent packet '34';20180516,23:32:45.661,unicast message '34' received from 2D:C8;20180516;23:32:45.648;sent packet '34';20180516;23:32:45.661;unicast message '34' received from 2D:C8;13000000
34;20180516,23:32:46.644,sent packet '35';20180516,23:32:46.658,unicast message '35' received from 2D:C8;20180516;23:32:46.644;sent packet '35';20180516;23:32:46.658;unicast message '35' received from 2D:C8;14000000
35;20180516,23:32:47.641,sent packet '36';20180516,23:32:47.655,unicast message '36' received from 2D:C8;20180516;23:32:47.641;sent packet '36';20180516;23:32:47.655;unicast message '36' received from 2D:C8;14000000
